ScreenName,FollowersCount,FriendsCount,Lineage,Status,Class,NetworkSize,Indegree,Outdegree
205,Rihana52764415,780,3950,WilsonCamiloSil,Directed,0,4730,0.1649048625792812,0.8350951374207188
210,jehangir_sardar,12952,14263,waseem1283,Directed,0,27215,0.4759140180047768,0.5240859819952233
215,ladieann,13310,13429,saigon_lion,Directed,0,26739,0.4977747858932645,0.5022252141067355
220,henokgabisa,14010,1209,Mariyam11794822,Directed,0,15219,0.9205598265326237,0.07944017346737631
225,stine_paus,119,173,dilbi100,Directed,0,292,0.4075342465753425,0.5924657534246576
230,simashabaneh,105,296,w1bble,Directed,0,401,0.26184538653366585,0.7381546134663342
235,jess_thea,30,78,apires010,Directed,0,108,0.2777777777777778,0.7222222222222222
240,sulkyracer,26637,27216,Jisseca10,Directed,0,53853,0.49462425491616063,0.5053757450838393
245,elizabethwila,30957,26217,defenseweapon,Directed,0,57174,0.5414524084374016,0.4585475915625984
250,TrevorGdchld,20047,20046,T80368341,Directed,0,40093,0.5000124710049135,0.4999875289950864
255,AmberWaver,3801,3785,badmanUSA,Directed,0,7586,0.5010545742156605,0.4989454257843396
260,morganlarebob84,157,369,JulianSvendsen,Directed,0,526,0.2984790874524715,0.7015209125475285
265,joecapone11,8658,8745,SharonG79108864,Directed,0,17403,0.49750043096017926,0.5024995690398207
270,GeorgePetrou13,410,918,Colinfish6,Directed,0,1328,0.30873493975903615,0.6912650602409639
275,KettirosNicos,226,456,ChrChristofias,Directed,0,682,0.3313782991202346,0.6686217008797654
280,UCYRector5,703,347,diofantosh,Directed,0,1050,0.6695238095238095,0.3304761904761905
285,mgarthright,5,32,prayingmedic,Directed,0,37,0.13513513513513514,0.8648648648648649
289,Gaurav97602291,5648,3582,KarenBiehll,Directed,0,9230,0.6119176598049837,0.38808234019501625
294,tommulkerin53,1584,2594,GavinHumble,Directed,0,4178,0.3791287697462901,0.6208712302537099
299,jwhiteside_joe,1102,2434,Taylasm12302042,Directed,0,3536,0.31165158371040724,0.6883484162895928
304,realAmericanJoe,246,1118,kuppgoskeythim,Directed,0,1364,0.18035190615835778,0.8196480938416423
309,CorbynASAP,17167,17181,HouseofGammon,Directed,0,34348,0.4997962035635263,0.5002037964364737
314,OberoiZeena,37,210,Debabra07220954,Directed,0,247,0.14979757085020243,0.8502024291497976
319,FloStadt,1036,1293,HariWafa,Directed,0,2329,0.4448261056247316,0.5551738943752683
324,MatthewJshow,7915,7259,Angelsdomain,Directed,0,15174,0.5216159219717938,0.47838407802820615
329,jlpalacios1962,21658,21656,FundTheWall,Directed,0,43314,0.5000230872235305,0.4999769127764695
334,DoctorSam7,1658,3096,5001RealStories,Directed,0,4754,0.3487589398401346,0.6512410601598654
339,Remarsh76,547,962,plsweeney1,Directed,0,1509,0.36249171636845595,0.6375082836315441
344,the_padstir,59,272,PaddymcNamee1,Directed,0,331,0.1782477341389728,0.8217522658610272
349,mmuthu1985,19,167,VadalurV,Directed,0,186,0.10215053763440861,0.8978494623655914
354,thegrillden,1668,1827,Jander9194,Directed,0,3495,0.47725321888412015,0.5227467811158798
359,JAYLXXXVIII,554,706,mjdgarage,Directed,0,1260,0.4396825396825397,0.5603174603174603
